Name,Address,Rating,Website,Hours,Cuisine,Latitude,Longitude
Indianapolis 500 Grill,N/A,N/A,N/A,N/A,burger,39.7150380,-86.2977915
McDonald's,N/A,N/A,N/A,N/A,burger,39.7172141,-86.0076571
Five Guys,N/A,N/A,N/A,N/A,burger,39.7642274,-86.3255477
Panera Bread,N/A,N/A,N/A,N/A,sandwich;bakery,39.7632272,-86.3258070
Papa John's,North Shadeland Avenue,N/A,N/A,N/A,pizza,39.7768392,-86.0447986
Dunkin' Donuts,Kentucky Avenue,N/A,N/A,N/A,donut,39.6607058,-86.3106271
Qdoba,North Keystone Avenue,N/A,https://www.qdoba.com/,N/A,mexican,39.8888544,-86.1211398
Subway,N/A,N/A,N/A,N/A,sandwich,39.7181385,-86.0079422
Wendy's,N/A,N/A,N/A,N/A,burger,39.7133931,-86.0087576
Church's Chicken,N/A,N/A,N/A,N/A,chicken,39.7539470,-86.2477712
Fazoli's,N/A,N/A,N/A,N/A,italian,39.7533304,-86.2498204
Einstein Bros. Bagels,N/A,N/A,N/A,N/A,bagel,39.9121200,-86.2199560
Chipotle,East 96th Street,N/A,https://www.chipotle.com/,Mo-Su 11:00-22:00,mexican,39.9264261,-86.0903204
China Wok,Allisonville Road,N/A,N/A,Mo-Th 11:00-21:30; Fr 11:00-22:00; Sa 17:00-22:00,chinese,39.9251604,-86.0687925
Jersey Mike's Subs,E. 82nd Street,N/A,https://www.jerseymikes.com,Mo-Sa 10:00-21:00; Su 11:00-19:00,sandwich,39.9042889,-86.0839581
Little Caesars,N/A,N/A,N/A,N/A,pizza,39.7360429,-86.1393143
Steak 'n Shake,N/A,N/A,N/A,closed,burger,39.9264284,-86.0974444
Jimmy John's,N/A,N/A,N/A,N/A,sandwich,39.8669617,-86.1202754
Punch Burger,East Ohio Street,N/A,http://punchburger.com/,N/A,burger,39.7696984,-86.1547252
Marco's Pizza,N/A,N/A,N/A,N/A,pizza,39.7803688,-86.1721318
Panda Express,Oscar Robertson Boulevard,N/A,N/A,N/A,chinese,39.7812900,-86.1704810
Chicken Salad Chick,North Keystone Avenue,N/A,N/A,N/A,chicken,39.8676920,-86.1210310
Hardee's,N/A,N/A,N/A,N/A,burger,39.8361230,-86.0265730
Potbelly's,N/A,N/A,N/A,N/A,sandwich,39.7682720,-86.1572000
Which Wich?,N/A,N/A,N/A,N/A,sandwich,39.7810770,-86.1742890
Papa Murphy's,East 71st Street,N/A,N/A,N/A,pizza,39.8843227,-86.0676547
The Pastry House,N/A,N/A,N/A,N/A,mexican,39.8251510,-86.2405860
Taco Bell,N/A,N/A,N/A,N/A,tex-mex,39.7126109,-86.0086863
White Castle,N/A,N/A,N/A,N/A,N/A,39.6929660,-86.1856889
Domino's,East 21st Street,N/A,N/A,Mo-Su 10:00-24:00,pizza,39.7965959,-85.9911640
Popeyes,East Washington Street,N/A,N/A,N/A,chicken,39.7744810,-85.9885351
KFC,East 21st Street,N/A,N/A,N/A,chicken,39.7969868,-86.0127257
Arby's,East 82nd Street,N/A,N/A,N/A,sandwich,39.9049142,-86.0565371
Penn Station,East 82nd Street,N/A,N/A,Mo-Su 10:30-21:00,sandwich,39.9043529,-86.0529113
Jack in the Box,North Post Road,N/A,N/A,24/7,burger,39.7975655,-86.0101428
Culver's,Country Village Drive,N/A,https://www.culvers.com/restaurants/indianapolis-in-rockville-rd,10:00-22:00,burger,39.7635617,-86.3062246
Dairy Queen,N/A,N/A,N/A,N/A,ice_cream;burger,39.7697951,-86.0588782
Bub's Burgers,N/A,N/A,N/A,N/A,burger,39.7150931,-86.2952471
Shake Shack,N/A,N/A,N/A,N/A,burger,39.7176261,-86.2969113
CoreLife Eatery,East 82nd Street,N/A,https://www.corelifeeatery.com/,Mo-Fr 11:00-21:00,sandwich;burger;american;health_food,39.9061335,-86.0936733
Bento,N/A,N/A,N/A,N/A,japanese,39.7151379,-86.2951850
Nature's Table,N/A,N/A,N/A,N/A,health_food,39.7149011,-86.2974874
Burger King,N/A,N/A,N/A,N/A,burger,39.6951235,-86.2678821
Mod Pizxa,N/A,N/A,https://modpizza.com/,N/A,N/A,39.9108164,-86.1097526
Jack's,N/A,N/A,N/A,N/A,burger,39.7679724,-86.1039020
Chick-fil-A,N/A,N/A,N/A,N/A,chicken,39.7149454,-86.2972882
317 Juicery,N/A,N/A,N/A,N/A,juice,39.7487336,-86.1399993
Freddy's,N/A,N/A,N/A,N/A,N/A,39.8018537,-86.2708202
MCL,N/A,N/A,N/A,N/A,N/A,39.8004904,-86.2650650
Ben's Soft Pretzels,N/A,N/A,N/A,N/A,N/A,39.7166066,-86.2983478
Domino's Pizza,N/A,N/A,N/A,N/A,pizza,39.8823596,-86.0673398
Papa Johns Pizza,East Southport Road,N/A,N/A,N/A,pizza,39.6652021,-86.1288804
Jack's donuts,N/A,N/A,N/A,N/A,N/A,39.6656853,-86.0469230
